!SIL	sil
<unk>	spn
-niemal	n i e m a l
103	s t o t S i2
104	s t o tS t e r i2
105	s t o p i e n tsj
106	s t o S e sj tsj
107	s t o sj e d e m
108	s t o o sj e m
109	s t o dzj e v i eo5 tsj
113	s t o t S i2 n a sj tsj e
114	s t o tS t e r n a sj tsj e
115	s t o p i e t n a sj tsj e
116	s t o S e s n a sj tsj e
117	s t o sj e d e m n a sj tsj e
118	s t o o sj e m n a sj tsj e
119	s t o dzj e v i eo5 t n a sj tsj e
123	t S i2 d v a dzj e sj tsj a t S i2
124	s t o d v a dzj e sj tsj a tS t e r i2
125	s t o d v a dzj e sj tsj a p i e n tsj
126	s t o d v a dzj e sj tsj a S e sj tsj
127	s t o d v a dzj e sj tsj a sj e d e m
128	s t o d v a dzj e sj tsj a o sj e m
129	s t o d v a dzj e sj tsj a dzj e v i eo5 tsj
130	s t o
131	s t o t S i2 dzj e sj tsj i j e d e n
132	s t o t S i2 dzj e sj tsj i d v a
134	s t o t S i2 dzj e sj tsj i tS t e r i2
135	s t o t S i2 dzj e sj tsj i p i e n tsj
136	s t o t S i2 dzj e sj tsj i S e sj tsj
137	s t o t S i2 dzj e sj tsj i sj e d e m
138	s t o t S i2 dzj e sj tsj i o sj e m
139	s t o t S i2 dz i S tsj dzj e v i eo5 tsj dzj e v i eo5 tsj
14	tS t e r n a sj tsj e
140	s t o tS t e r dzj e sj tsj i
141	s t o tS t e r dzj e sj tsj i j e d e n
142	s t o tS t e r dzj e sj tsj i d v a
143	t S i2 tS t e r dzj e sj tsj i t S i2
144	s t o tS t e r dzj e sj tsj i tS t e r i2
145	s t o tS t e r dzj e sj tsj i p i e n tsj
146	s t o tS t e r dzj e sj tsj i S e sj tsj
147	s t o tS t e r dzj e sj tsj i sj e d e m
148	s t o tS t e r dzj e sj tsj i o sj e m
149	s t o tS t e r dzj e sj tsj i dzj e v i eo5 tsj
15	p i e t n a sj tsj e
16	S e s n a sj tsj e
17	sj e d e m n a sj tsj e
18	o sj e m n a sj tsj e
19	dzj e v i eo5 t n a sj tsj e
23	d v a dzj e sj tsj a t S i2
24	d v a dzj e sj tsj a tS t e r i2
25	d v a dzj e sj tsj a p i e n tsj
26	d v a dzj e sj tsj a S e sj tsj
27	d v a dzj e sj tsj a sj e d e m
28	d v a dzj e sj tsj a o sj e m
29	d v a dzj e sj tsj a dzj e v i eo5 tsj
3	t S i2
30	t S i2 dzj e sj tsj i
31	t S i2 dzj e sj tsj i j e d e n
32	t S i2 dzj e sj tsj i d v a
33	t S i2 dzj e sj tsj i t S i2
34	t S i2 dzj e sj tsj i tS t e r i2
35	t S i2 dzj e sj tsj i p i e n tsj
36	t S i2 dzj e sj tsj i S e sj tsj
37	t S i2 dzj e sj tsj i sj e d e m
38	t S i2 dzj e sj tsj i o sj e m
39	t S i2 dzj e sj tsj i dzj e v i eo5 tsj
4	tS t e r i2
40	tS t e r dzj e sj tsj i
41	tS t e r dzj e sj tsj i j e d e n
42	tS t e r dzj e sj tsj i d v a
43	tS t e r dzj e sj tsj i t S i2
44	tS t e r dzj e sj tsj i tS t e r i2
45	tS t e r dzj e sj tsj i p i e n tsj
46	tS t e r dzj e sj tsj i S e sj tsj
47	tS t e r dzj e sj tsj i sj e d e m
48	tS t e r dzj e sj tsj i o sj e m
49	tS t e r dzj e sj tsj i dzj e v i eo5 tsj
5	p i e n tsj
50	p i e n dzj e tsj oc5 t
51	p i e n dzj e tsj oc5 t j e d e n
52	p i e n dzj e tsj oc5 t d v a
53	p i e n dzj e tsj oc5 t t S i2
54	p i e n dzj e tsj oc5 t tS t e r i2
55	p i e n dzj e tsj oc5 t p i e n tsj
56	p i e n dzj e tsj oc5 t S e sj tsj
57	p i e n dzj e tsj oc5 t sj e d e m
58	p i e n dzj e tsj oc5 t o sj e m
59	p i e n dzj e tsj oc5 t dzj e v i eo5 tsj
6	S e sj tsj
60	S e sj tsj dzj e tsj oc5 t
61	S e sj tsj dzj e tsj oc5 t j e d e n
62	S e sj tsj dzj e tsj oc5 t d v a
63	S e sj tsj dzj e tsj oc5 t t S i2
64	S e sj tsj dzj e tsj oc5 t tS t e r i2
65	S e sj tsj dzj e tsj oc5 t p i e n tsj
67	S e sj tsj dzj e tsj oc5 t sj e d e m
68	S e sj tsj dzj e tsj oc5 t o sj e m
69	S e sj tsj dzj e tsj oc5 t dzj e v i eo5 tsj
7	sj e d e m
70	sj e d e m dzj e tsj oc5 t
71	sj e d e m dzj e tsj oc5 t j e d e n
72	sj e d e m dzj e tsj oc5 t d v a
73	sj e d e m dzj e tsj oc5 t t S i2
74	sj e d e m dzj e tsj oc5 t tS t e r i2
75	sj e d e m dzj e tsj oc5 t p i e n tsj
76	sj e d e m dzj e tsj oc5 t S e sj tsj S e sj tsj
77	sj e d e m dzj e tsj oc5 t sj e d e m
78	sj e d e m dzj e tsj oc5 t o sj e m
